question,intent
일식집 알려줄래,맛집
동두천 스테이크 맛집 알려줘,맛집
근처 스테이크 맛집 어디야,맛집
강남 함박 스테이크 맛집 잘하는 곳 알려줘,맛집
알리오 올리오 강남구 맛집 알려줘,맛집
창녕 파스타 맛집 추천해주겠니,맛집
밀양 근처 파스타 잘 하는 곳 있니,맛집
임실 족발 맛집 알려줘,맛집
익산 양식집 맛집 추천 해줄래,맛집
군산 일식집 맛집 초밥 추천해줘,맛집
스테이크 맛집 알려줘,맛집
근처 스테이크 맛집 어디야,맛집
맛집 잘하는 곳 알려줘,맛집
알리오 올리오 맛집 알려줘,맛집
파스타 맛집 추천해주겠니,맛집
근처 파스타 잘 하는 곳 있니,맛집
족발 맛집 알려줘,맛집
양식집 식당 추천 해줄래,맛집
일식집 맛집 초밥 추천해줘,맛집
분식집 떡볶이 맛집 알려줘,맛집
돈까스 먹고싶다,맛집
중식 맛집 알려줘,맛집
주변 케익 빵집 추천해줘,맛집
분식 맛집 알려줘,맛집
갈메기 마포구 맛집,맛집
강동 맛집 어디야,맛집
마포 갈메기 맛집 무한리필,맛집
중랑구 아구찜 맛집 알려주세요,맛집
브런치 맛집 알려주세요,맛집
백종원 음식점 어디 있어,맛집
노원구 브런치 맛집 알려주세요,맛집
이태원 짬뽕집 식당 음식점,맛집
식당 맛집 알려줘,맛집
골목식당 맛집 알려줘,맛집
짜장면 잘하는 맛집 어디지,맛집
주변 연어초밥집 알려줘,맛집
연어 무한리필 맛집 알려줄래,맛집
광어 회 먹고싶어,맛집
주변 술집 추천해줘,맛집
맥주 먹고싶어,맛집
떡볶이 가게 추천,맛집
사람 많은 맥주 술집 추천해줘,맛집
광어 초밥 추천해줄래,맛집
삼겹살 맛집 알려주세요,맛집
국수 맛집 추천해주세요,맛집
고기국수 잘하는 맛집 알려줄래요,맛집
갈비집 추천해줘요,맛집
삼겹살 잘 하는 곳 알려주세요,맛집
근처 국수 맛집 알려주세요,맛집
스파게티 먹고싶어요,맛집
국수 먹고싶어요,맛집
사람 많은 순대 맛집 떡볶이 맛집,맛집
스파게티 맛집 추천해줘요,맛집
티본 스테이크 맛집 알려줘,맛집
바비큐 맛집 어디야,맛집
근처 바베큐 식당 알려줘,맛집
유명한 태국 음식 잘하는 곳 알려줘,맛집
베트남 음식 맛집 알려줘,맛집
돈가스 맛집 궁금해,맛집
소고기 음식 잘하는 곳 알려줘,맛집
진짜 유명한 비빔밥 잘하는 맛집 어디니,맛집
제육 볶음 잘하는 곳 알려줘,맛집
면 음식 잘하는 맛집 어디야,맛집
근처 불고기 맛집 추천 좀,맛집
베트남 음식점 알려줘,맛집
음식점 맛 좋은 곳 알려줘,맛집
마카롱 가게 알려줘,맛집
달달한 브런치 카페 추천좀,맛집
밀면 가게 궁금해,맛집
냉모밀 잘하는 식당 주변 있니,맛집
비빔냉면 맛집 추천해줘,맛집
시원한 물냉면 먹고싶어,맛집
곱창 맛집 알려줘,맛집
시원한 맥주 잘하는 맛집 어디니,맛집
옥수수 맛집 알려줘,맛집
대창 맛집 추천해줄래,맛집
양대창 먹고싶네,맛집
물냉면 맛집 추천해줘,맛집
돼지 국밥 추천해줘,맛집
콩나물 국밥 먹고싶은데 맛집 있니,맛집
타코 가게 알려줘,맛집
순대 국밥 잘하는 밥집 있니,맛집
인도음식 궁금해,맛집
밀면 맛집,맛집
쫄면 맛집 알려줘,맛집
오리 고기 맛집 추천해줘,맛집
꽃게탕 맛집 어디니,맛집
근처 짜글이 가게 알려줘,맛집
돼지고기 짜글이 알려줘,맛집
타코야끼 맛집 알려줘,맛집
샌드위치 잘하는 맛집 어디니,맛집
유명한 밀면 맛집,맛집
유명한 쫄면 맛집 알려줘,맛집
유명한 오리 고기 맛집 추천해줘,맛집
유명한 꽃게탕 맛집 어디니,맛집
유명한 근처 짜글이 맛집 알려줘,맛집
유명한 돼지고기 짜글이 궁금해,맛집
유명한 타코야끼 맛집 알려줘,맛집
유명한 샌드위치 잘하는 맛집 어디니,맛집
냉채 맛집 알려줘,맛집
냉채 족발 주변 있니,맛집
주변 카레 불고기 가게 알려줘,맛집
분식집 잘 하는 곳 알려줘,맛집
유명한 맛집 어디야,맛집
인기 많은 맛집 추천해줘,맛집
괜찮은 근처 불고기 맛집 추천 좀,맛집
괜찮은 베트남 음식점 알려줘,맛집
괜찮은 음식점 맛 좋은 곳 알려줘,맛집
최고 맛있는 베트남 음식점 알려줘,맛집
진짜 좋은 음식점 맛 좋은 곳 궁금해,맛집
맛 좋은 음식점 맛집 알려줘,맛집
괜찮은 마카롱 맛집 알려줘,맛집
괜찮은 달달한 브런치 카페 추천좀,맛집
괜찮은 밀면 맛집 알려주겠니,맛집
티비 나왔던 맛집 추천,맛집
텔레비전 나왔었던 고깃집 어디더라,맛집
요즘 유명한 바베큐 맛집 알려줘,맛집
주변 태국 음식 잘하는 곳 알려줘,맛집
베트남 음식 맛집 알려줘,맛집
인기 많은 돈가스 맛집 어디니,맛집
근처 소고기 음식 잘하는 곳 알려줘,맛집
요즘 비빔밥 잘하는 맛집 어디니,맛집
크림 파스타 맛집,맛집
해물탕 맛집 어디니 먹고 싶다,맛집
먹고싶은 시루떡 맛집,맛집
떡집 맛있는 곳 알려줘,맛집
고깃집 어디 잘해,맛집
인기 있는 제육 볶음 잘하는 곳 알려줘,맛집
사람 많은 치킨 버거 맛집,맛집
많이 가는 맛집 추천,맛집
치킨집 추천해줘,맛집
치킨 맛있는 곳 추천 해줄래,맛집
근처 통닭집 추천해줘,맛집
주변 양념 치킨 잘 하는 곳 추천,맛집
마라롱샤 맛집 어디니,맛집
마라샹궈 맛집 추천 해줘,맛집
마라탕 잘 하는 곳 어디 있어,맛집
한식 맛집 알려줘,맛집
백반집 잘하는 곳 어디니,맛집
양식 먹고 싶은데 맛집 있니,맛집
근처 매운탕 맛집 알려줘,맛집
만두 맛집 알려줘,맛집
찐빵 맛집 알려주세요,맛집
짬뽕 맛집 알려주세요,맛집
초밥 잘 하는 곳 어디 맛있니,맛집
국밥집 알려줘,맛집
국밥 먹고싶어,맛집
뜨끈하고 든든하게 국밥 먹고싶어,맛집
감자탕 먹고싶어,맛집
라면 맛집 알려줘,맛집
라멘 잘하는 곳 추천 좀 해줘,맛집
일식집 알려줄래,맛집
스테이크 맛집 알려줘,맛집
근처 스테이크 맛집 어디야,맛집
맛집 잘하는 곳 알려줘,맛집
알리오 올리오 맛집 알려줘,맛집
파스타 맛집 추천해주겠니,맛집
근처 파스타 잘 하는 곳 있니,맛집
족발 맛집 알려줘,맛집
양식집 맛집 추천 해줄래,맛집
일식집 맛집 초밥 추천해줘,맛집
분식집 떡볶이 맛집 알려줘,맛집
돈까스 먹고싶다,맛집
중식 맛집 알려줘,맛집
주변 케익 빵집 추천해줘,맛집
분식 맛집 알려줘,맛집
아구찜 음식점 알려주세요,맛집
브런치 맛집 알려주세요,맛집
짬뽕집 알려줘,맛집
주변 레스토랑 맛집 추천,맛집
스테이크 레스토랑 맛집 추천,맛집
스테이크 파스타 레스토랑 맛집,맛집
와플 맛집 어디야,맛집
짜장면 잘하는 맛집 어디지,맛집
주변 연어초밥집 알려줘,맛집
연어 무한리필 맛집 알려줄래,맛집
광어 회 먹고싶어,맛집
주변 술집 추천해줘,맛집
맥주 먹고싶어,맛집
맥주 맛집 추천해줘,맛집
광어 초밥 추천해줄래,맛집
삼겹살 맛집 알려주세요,맛집
국수 맛집 추천해주세요,맛집
고기국수 잘하는 맛집 알려줄래요,맛집
갈비집 추천해줘요,맛집
삼겹살 잘 하는 곳 알려주세요,맛집
근처 국수 맛집 알려주세요,맛집
스파게티 먹고싶어요,맛집
국수 먹고싶어요,맛집
순대 맛집 떡볶이 맛집,맛집
스파게티 맛집 추천해줘요,맛집
티본 스테이크 맛집 알려줘,맛집
바비큐 맛집 어디야,맛집
근처 바베큐 맛집 알려줘,맛집
태국 음식 잘하는 곳 알려줘,맛집
베트남 음식 맛집 알려줘,맛집
돈가스 맛집 어디니,맛집
소고기 음식 잘하는 곳 알려줘,맛집
비빔밥 잘하는 맛집 어디니,맛집
제육 볶음 잘하는 곳 알려줘,맛집
면 음식 잘하는 맛집 어디야,맛집
근처 불고기 음식점 추천 좀,맛집
베트남 음식점 알려줘,맛집
음식점 맛 좋은 곳 알려줘,맛집
마카롱 맛집 알려줘,맛집
달달한 브런치 카페 추천좀,맛집
밀면 맛집 알려주겠니,맛집
냉모밀 잘하는 맛집 주변 있니,맛집
비빔냉면 맛집 추천해줘,맛집
시원한 물냉면 먹고싶어,맛집
곱창 맛집 알려줘,맛집
시원한 맥주 잘하는 맛집 어디니,맛집
옥수수 맛집 알려줘,맛집
대창 맛집 추천해줄래,맛집
양대창 먹고싶네,맛집
물냉면 맛집 추천해줘,맛집
돼지 국밥 추천해줘,맛집
콩나물 국밥 먹고싶은데 맛집 있니,맛집
타코 맛집 알려줘,맛집
순대 국밥 잘하는 밥집 있니,맛집
인도음식 먹고싶어지네,맛집
밀면 맛집,맛집
쫄면 맛집 알려줘,맛집
오리 고기 맛집 추천해줘,맛집
꽃게탕 맛집 어디니,맛집
근처 짜글이 맛집 알려줘,맛집
돼지고기 짜글이 알려줘,맛집
타코야끼 음식점 알려줘,맛집
샌드위치 잘하는 맛집 어디니,맛집
유명한 밀면 맛집,맛집
유명한 쫄면 맛집 알려줘,맛집
유명한 오리 고기 맛집 추천해줘,맛집
유명한 꽃게탕 식당 어디니,맛집
유명한 근처 짜글이 맛집 알려줘,맛집
유명한 돼지고기 짜글이 알려줘,맛집
유명한 타코야끼 맛집 알려줘,맛집
유명한 샌드위치 잘하는 식당 어디니,맛집
냉채 맛집 알려줘,맛집
냉채 족발 주변 있니,맛집
주변 카레 불고기 맛집 알려줘,맛집
분식집 잘 하는 곳 알려줘,맛집
유명한 맛집 어디야,맛집
인기 많은 식당 추천해줘,맛집
괜찮은 근처 불고기 맛집 추천 좀,맛집
괜찮은 베트남 음식점 알려줘,맛집
괜찮은 음식점 맛 좋은 곳 알려줘,맛집
최고 맛있는 베트남 음식점 알려줘,맛집
진짜 좋은 음식점 맛 좋은 곳 알려줘,맛집
맛 좋은 음식점 맛집 알려줘,맛집
괜찮은 마카롱 맛집 알려줘,맛집
괜찮은 달달한 브런치 카페 추천좀,맛집
대천 괜찮은 밀면 맛집 알려주겠니,맛집
창원 티비 나왔던 맛집 추천,맛집
강원도 텔레비전 나왔었던 칼국수 맛집 어디더라,맛집
광주 요즘 유명한 바베큐 맛집 알려줘,맛집
대구 주변 태국 음식 잘하는 곳 알려줘,맛집
서울 베트남 음식 맛집 알려줘,맛집
대전 인기 많은 돈가스 맛집 어디니,맛집
대구 근처 소고기 음식 잘하는 곳 알려줘,맛집
요즘 전주 비빔밥 잘하는 맛집 어디니,맛집
전주 크림 파스타 맛집,맛집
부산 해물탕 맛집 어디니 먹고 싶다,맛집
먹고싶은 경창 창원 무지개떡 맛집,맛집
청주 떡집 맛있는 곳 알려줘,맛집
순창 고깃집 어디 잘해,맛집
인기 있는 부산 제육 볶음 잘하는 곳 알려줘,맛집
부천 자장면 음식점 먹고 싶은데,맛집
구리 짱개 먹고싶어,맛집
광양 짜장면 어디 잘해 추천 해주라,맛집
목포 초밥 맛집 추천해줘,맛집
수제비 안산 맛집 어디 있어,맛집
여수 김치찌개 맛집 알려줄래,맛집
유명한 순천 찌개 맛집 추천해줘,맛집
햄버거 맛집 알려줘,맛집
인천 근처 햄버거 맛집 어디니,맛집
울산 수제버거 음식점 맛있니,맛집
춘천 치킨집 추천해줘,맛집
춘천 닭갈비 맛집 어디니,맛집
군산 꼴뚜기 맛집 추천해줘,맛집
쭈꾸미 볶음 맛집 어디니,맛집
고르곤졸라 피자 맛집 어디니,맛집
피자 맛집 추천 좀,맛집
영월 맛집 알려줘,맛집
안암 진짜 잘하는 돌솥밥 맛집 어디니,맛집
청주 치킨 맛있는 곳 추천 해줄래,맛집
진천 근처 통닭집 추천해줘,맛집
해남 주변 양념 치킨 잘 하는 곳 추천,맛집
안산 마라롱샤 맛집 어디니,맛집
무주 마라샹궈 맛집 추천 해줘,맛집
평창 마라탕 잘 하는 곳 어디 있어,맛집
한식 맛집 알려줘,맛집
백반집 잘하는 곳 어디니,맛집
남서울 양식 먹고 싶은데 맛집 있니,맛집
남양주 근처 매운탕 맛집 알려줘,맛집
세종 만두 맛집 알려줘,맛집
새우 튀김 잘하는 곳 어디니,맛집
양천 맛집 어디니,맛집
가평 맛집 어디니,맛집
거창 잘하는 맛집 곱창집,맛집
과일 탕수육 맛집 추천 좀 해주겠니,맛집
창녕 찌개 맛집 어딜까,맛집
태안 고깃집 맛집 어디 추천,맛집
고흥 꿔바로우 맛집 어디,맛집
화순 순두부 맛집 추천,맛집
두부 찌개 맛집,맛집
어묵탕 진짜 잘하는 맛집,맛집
오뎅탕 잘하는 음식점 어디니,맛집
거창 맛집 어디니,맛집
가평 돌솥 비빔밥 추천,맛집
고창 직화구이 맛집 알려줘,맛집
고등어 맛집 어디니,맛집
참치 타다끼 맛집 알려줘,맛집
육회 비빔밥 맛집 추천해주라,맛집
순두부 찌개 맛집 알려줄래,맛집
탕 맛집 알려줘,맛집
고구마 맛탕 맛집 어디야,맛집
고등어 조림 맛집 추천 좀,맛집
숭어 맛집 추천해줘,맛집
활어 회 맛있는 맛집 어디,맛집
피순대 맛집,맛집
간 맛집 알려줘,맛집
고추장 불고기 맛집 어디니,맛집
간장 닭 불고기 맛집 어딜까,맛집
백숙집 알려줘,맛집
옻 백숙 잘하는 맛집 추천,맛집
닭고기 맛집 어디 없나,맛집
괴산 맛집 추천 해주겠니,맛집
강남 진짜 맛집 추천,맛집
함양 파전 맛있는 맛집,맛집
감자전 맛집 알려줄래,맛집
김치전 진짜 맛집 잘하는 곳 알려줘,맛집
소주 먹고싶은데 맛집 있니,맛집
소주 어울리는 맛집 추천,맛집
과자 간식 맛집 알려줘,맛집
증평 인기 많은 술집 어디야,맛집
영월 사람 많은 맛집 추천,맛집
장흥 사람 많은 술집 어디야,맛집
영덕 대게 맛집 어디야,맛집
정선 맛집 알려줘,맛집
천안 호두과자 맛집 알려줘,맛집
창원 맛 좋고 유명한 맛집,맛집
맛집,맛집
음식점,맛집
유명한 음식점 추천,맛집
가평 맛집 어디니,맛집
오믈렛 맛집 알려줘,맛집
서양 분식 맛집 알려줄래,맛집
불고기 음식점 유명한 곳 알려줘,맛집
볶음밥 맛있는 곳 어디있어,맛집
양파 볶음 맛 좋은 곳 어디,맛집
기사식당 유명한 곳,맛집
기사 식당 진짜 맛있는 곳 있니,맛집
진도 활어 회 맛집,맛집
군산 달걀 볶음밥 맛집,맛집
곡성 오믈렛 맛집,맛집
단양 비빔밥 맛집 알려줘,맛집
순창 고추장 불고기 유명한 맛집 어디,맛집
혹시 의령 유명한 맛집,맛집
양양 유명한 맛집 추천,맛집
내일 화천 여행가는데 맛집 어디야,맛집
청송 진짜 유명한 국수 맛집 어딘데,맛집
내일 구례 가는데 맛 좋은 맛집 음식점 어디야,맛집
무주 식당 궁금한데 알려주겠니,맛집
진안 혹시 유명한 음식점 있을까,맛집
양구 음식점 맛집 궁금해요,맛집
군위 맛집 궁금해,맛집
의왕 제일 유명한 맛집 있니,맛집
광양 인기 많은 음식점,맛집
식당 맛 좋은 맛집 어디,맛집
제천 맛집 알려줄래,맛집
논산 유명한 닭 갈비 알려줘,맛집
의정부 맛집 추천 좀,맛집
제일 맛 좋은 맛집 음식점 어디,맛집
칠곡 맛집 알려줘,맛집
여주 음식점 알려줄래,맛집
정읍 맛집 어디니,맛집
음성군 맛집 어디있어,맛집
양평 해장국 맛집 알려줄수 있어,맛집
내장탕 맛집 추천해줘,맛집
야채 죽 맛있는 곳 어디,맛집
죽집 추천해줘,맛집
공주 치킨 맛집 알려줄래,맛집
완주 입 맛 까다로운 맛집 추천,맛집
상주 음식점 줘,맛집
강진 진짜 맛 좋은 음식점 추천할까,맛집
고추장 혹시 보은 맛집 없으려나,맛집
오늘 인제 도토리 묵 맛집 추천해줘,맛집
진도 낙지 볶음 음식점 좋으려나,맛집
군산 맛집 음식점 나쁠까 정말,맛집
곡성 도토리 묵 맛집 없을까,맛집
불고기 단양 맛집 맛있겠지 아마,맛집
불고기 볶음 순창 맛집 가면 좋겠다,맛집
혹시 의령 참치찌개 맛집 안 맛있겠지,맛집
양양 참치전 맛집 없을까,맛집
화천 김치전 음식점 필요해,맛집
청송 물회 음식점 가볼까,맛집
구례 파전 볶음 음식점 챙길까 말까,맛집
무주 맛집 궁금한데 알려주겠니,맛집
진안 혹시 볶음 맛집 알려줘,맛집
막걸리 유명한 양구 맛집 궁금해요,맛집
막걸리 유명한 군위 맛집 궁금해,맛집
장수 맛집 많이 가볼까,맛집
영양 오징어 숙회 맛집 알려주겠니,맛집
울릉 베이컨 맛집 정보 알려주세요,맛집
혹시 그 때 종로구 맛집 어떨까,맛집
그 때 관악구 맛집 좋겠지,맛집
서초구 베이컨 맛집 어떨 것 같은데,맛집
강동구 맛집 어떨까요,맛집
도봉구 목살 맛집 어때요,맛집
중랑구 산 낙지 맛있는 곳 추천,맛집
광진구 오징어 튀김 맛집,맛집
