question,intent
계곡 어디가 좋니,여행지
갈만한 꽃놀이 있어,여행지
어디로 여행지 갈 건가,여행지
배 타고 싶어요,여행지
가까운 바다 여행지 있어,여행지
꽃구경 해보는 것 어때,여행지
튤립 핀 곳 있어,여행지
여행지 추천해 줘,여행지
깨끗한 바다 없나,여행지
예쁜 바다 여행지 알려주세요,여행지
동물원 여행지 있어,여행지
어린이 좋아하는 여행지,여행지
겨울 등산할만한 산 어디 있어,여행지
분위기 좋은 카페,여행지
수영 하고 싶어,여행지
가까운 수목원 어디인지 모르겠어요,여행지
어디서 꽃구경 해,여행지
냉동실 같은 계곡,여행지
템플스테이 할래,여행지
봄꽃 축제 갈만한 곳 있어,여행지
가까운 놀이동산 여행지 부탁해요,여행지
가까운 바다 여행지 추천해 봐요,여행지
식물원 여행지 있을까,여행지
워터파크 괜찮은 곳,여행지
단풍 놀이 가고 싶어,여행지
더운데 계곡 갈까,여행지
혼자 등산 할래,여행지
여행지 추천해 주지 않을래,여행지
산책로 구경시켜주지 않을래,여행지
템플스테이 가능한가요,여행지
유명한 단풍 여행지,여행지
가까운 템플스테이 여행지 갈래요,여행지
경기장 어떤가요,여행지
가까운 사찰 여행지 알려줬으면 해요,여행지
괜찮은 여행지 몰라서 문제네,여행지
자전거 탈래,여행지
전시관 여행지 어디니,여행지
괜찮은 워터파크,여행지
축제 열리는 곳 있니,여행지
꽃구경 하러 갈 것 같아,여행지
물놀이 하고 싶은데 괜찮은 곳 있나,여행지
물놀이 여행 어디가 좋을까,여행지
가까운 스키장 여행지 어딜까요,여행지
사찰 어때,여행지
즐길만한 축제 알려줘,여행지
혼자 놀이동산 갈래,여행지
유명한 사찰 여행지 추천 원해요,여행지
가까운 단풍놀이 여행지 보여줬으면 해,여행지
단풍놀이 원해요,여행지
당신이라면 어디 여행지 갈거야,여행지
놀이공원 여행지 있어,여행지
유명한 계곡 여행지 있어요,여행지
쉬고 싶은데 갈만한 여행지 있을까,여행지
유명한 경기장 여행지 알려줘,여행지
꽃놀이 가고 싶어요,여행지
유명한 수영장 있나,여행지
공기좋은 등산로,여행지
가까운 산 여행지 궁금해요,여행지
여행지 어디 있냐,여행지
가까운 템플스테이 여행지 알려주면 좋겠어요,여행지
갈만한 산책로 있지 않아요,여행지
유명한 사찰 여행지 추천 원해,여행지
계곡 보고 싶어,여행지
벚꽃 축제 보러 갈래,여행지
유명한 스키장 가고 싶어,여행지
유명한 절 원해요,여행지
템플스테이 추천 필요해요,여행지
꽃놀이 어디서 해,여행지
괜찮은 스키장 갈래,여행지
깨끗한 바다 여행지 어디,여행지
놀이공원 괜찮은가요,여행지
등산로 보여줘라,여행지
꽃구경 갈래요,여행지
가까운 바다 여행지 알려줘 봐,여행지
유명한 야구 여행지 보여줘 봐요,여행지
등산 갈래,여행지
노래 듣고 싶어,여행지
멋진 박물관 보여줘,여행지
여행지 있는지 고민이네,여행지
야구장 알려줘,여행지
유명한 절 여행지 원해요,여행지
나만 알고 싶은 산림 여행지,여행지
가까운 단풍 여행지 추천해주면 좋겠어,여행지
나룻배 타고 싶어,여행지
가까운 바다 여행지 있죠,여행지
동물원 여행지 추천해 봐요,여행지
여행지 뭐 있어,여행지
스트레스 풀릴 여행지,여행지
사랑 받는 템플스테이,여행지
주변 산책 갈만한 데 있어,여행지
바다 여행지 알려줘,여행지
가까운 계곡 추천 좀 해줘 봐,여행지
꽃놀이 정보 알려줘,여행지
여행지 알려달라고,여행지
단풍 놀이 여행지 어디,여행지
꽃놀이 보고 싶어요,여행지
가벼운 산책로,여행지
유명한 스키장,여행지
어디 여행지 가는게 좋을까,여행지
전통놀이 배우려면 어떻게 해야돼,여행지
맑은 계곡,여행지
여행지 어디 갈 데 있어,여행지
좋은 전시관,여행지
재밌는 축제 원해,여행지
식물원 가고 싶은데 갈만한 곳 있어,여행지
여행지 알려줘라,여행지
가까운 단풍 여행지 보여주면 좋겠어,여행지
많이 찾는 단풍놀이 구경,여행지
템플스테이 여행지 어떨 것 같아,여행지
가볼법한 여행지 보여줘요,여행지
가까운 사찰 여행지 보여줬으면 해요,여행지
축제 갈만한 곳 있어,여행지
꽃구경 어때요,여행지
문학관 여행지 궁금해요,여행지
가봄직한 여행지 있을까요,여행지
거리상 짧은 여행지,여행지
풍경 좋은 산 있니,여행지
배드민턴장 추천해 줘요,여행지
유명한 박물관 여행지 있냐,여행지
가까운 스키장 여행지 갈래,여행지
놀이동산 여행지 있지,여행지
유명한 놀이공원 있죠,여행지
소풍 가고 싶은데 갈만한 여행지 띄워줘,여행지
여행지 추천해 달라고요,여행지
유명한 깨끗한 바다 여행지 어디 있을까,여행지
축구장 어딨을까,여행지
동물원 보여줘 봐,여행지
가까운 동물원 여행지 어디 가야 하지,여행지
가까운 바다 여행지 보여줘 봐,여행지
여행지 어딨냐,여행지
공기가 상쾌한 여행지 보여주세요,여행지
유명한 스키장 어디 있어,여행지
유명한 축구 여행지 추천해 봐,여행지
봄 풍경 예쁜 산 추천해 줘,여행지
가까운 축구 여행지 조사하고 싶어,여행지
단풍놀이 가보고 싶은데,여행지
혼자 꽃구경 하고 싶어,여행지
유명한 물놀이 있어,여행지
가까운 야구장 여행지 알고 싶어요,여행지
단풍구경 갈래,여행지
사찰 여행지 가보고 싶어요,여행지
가까운 동물원 여행지 어디 가야 할까요,여행지
가까운 스키 여행지 어딘가요,여행지
경기장 어디 있니,여행지
벚꽃 축제 가봐야 하는데,여행지
가봐야 하는 꽃놀이 여행지 알려주세요,여행지
갈만한 절 있을까,여행지
갈만한 바다 여행지 부탁합니다,여행지
박물관 여행지 갈 데 없나요,여행지
템플스테이 원한다,여행지
가까운 스키 여행지 어디죠,여행지
휴식 취할만한 관광지 어딨니,여행지
여행지 띄워주었음 좋겠어,여행지
비 오면 바다 여행 힘들텐데,여행지
템플스테이 조사하고 싶네요,여행지
생각없이 갈만한 놀이동산 알려주세요,여행지
단풍놀이 원해,여행지
테니스장 알고 싶네요,여행지
추천할만한 놀이공원,여행지
놀이공원 여행지 추천 부탁해요,여행지
경기장 없을까,여행지
즐길만한 여행지 가고 싶어,여행지
가까운 식물원 어디 가야 할지 모르겠어요,여행지
혹시 미술관 여행지 있니,여행지
성지순례 여행지,여행지
배구장 가고 싶네,여행지
갈만한 등산 여행지 알고 싶어요,여행지
머리 식힐만한 여행지 없나,여행지
동물원 여행지 알려줘 봐요,여행지
등산해보고 싶은데 갈만한 곳,여행지
유명한 산,여행지
가볼 만한 놀이공원 알려줘,여행지
꽃구경 장소 알려주세요,여행지
자주 갈법한 여행지 알려줘,여행지
괜찮은 산책로,여행지
추천할만한 야구 여행지,여행지
여행지 띄워줘,여행지
물놀이 원해 갈만한 곳,여행지
식물원 알려줘 봐,여행지
산 여행지,여행지
여행지 알려주지 않을래,여행지
단풍놀이 여행지 갈래,여행지
단풍놀이 여행지 모두 알려주세요,여행지
바다구경 어딜 가야 잘했다 할까,여행지
괜찮은 바다 여행지 추천해 줘,여행지
갈만한 꽃놀이 여행지 구경하고 싶다,여행지
가까운 여행지 추천해 줘,여행지
워터파크 좀 알려줘,여행지
갈만한 여행지 있어야 하는데,여행지
단풍 여행지 추천해 주세요,여행지
인기 좋은 등산로 없나요,여행지
바다 알고 싶네,여행지
시설 좋은 수영장 있니,여행지
가까운 절 여행지 추천해 줬으면 해요,여행지
사격장 가고 싶다,여행지
바다 있어요,여행지
유명한 물놀이 하는 곳 있어,여행지
바다 여행지 알려주세요,여행지
어디 여행지 갈거니,여행지
많이 찾는 꽃구경,여행지
수영 할만한 곳 있니,여행지
축구장 여행지,여행지
너라면 어디 여행지 갈래,여행지
유명한 계곡 여행지 있지,여행지
재밌는 축제 원해요,여행지
갈만한 등산 여행지 추천받고 싶어요,여행지
경기장 구경하고 싶어,여행지
박물관 여행지 갈 데 없나,여행지
여행지 몰라서 문젠데,여행지
갈만한 스키장 여행지 가보고 싶네요,여행지
가까운 물놀이 빨리 말해요,여행지
갈만한 산 말해주세요,여행지
심심한데 산책 장소 있나,여행지
가까운 등산 갈래,여행지
가볍게 가볼만한 여행지 없을까,여행지
축구 여행지 보여줘,여행지
문학관 여행지 추천해 봐,여행지
꽃 핀 곳 알려줘,여행지
가까운 스키장 여행지 있나요,여행지
꽃구경 하고 싶다,여행지
꽃구경 어디 가야 잘했다 할까,여행지
가기 좋은 계곡 추천해 줘,여행지
분위기 있는 카페,여행지
경기장 어디,여행지
꽤 유명한 축제,여행지
유명한 스키장 어디 있죠,여행지
무서운 놀이동산 있나요,여행지
어디 여행지 추천할래요,여행지
문학관 여행지 궁금해,여행지
갈만한 스키 여행지 말해주실래요,여행지
갈만한 스키 여행지 보여주세요,여행지
여행지 어디 있냐,여행지
가까운 단풍놀이 여행지 알려주길 바래,여행지
여행지 몰라서 문젠데요,여행지
상쾌한 여행지,여행지
인기많은 여행지,여행지
바다 있나요,여행지
갈만한 단풍놀이 여행지 알고 싶은데요,여행지
당구장 띄워줘요,여행지
가까운 수목원 어디인지 모르겠어,여행지
바다 보고 싶다고요,여행지
단풍놀이 보고 싶어,여행지
가까운 계곡 추천 좀 해줘 봐요,여행지
놀이동산 있어,여행지
스키장 추천해 줘,여행지
좋은 수영장 알려줄래,여행지
추천해 주고 싶은 꽃놀이,여행지
꽃구경 해보고 싶네,여행지
여행지 띄워주겠니,여행지
시간 가는줄 모르는 공연 있나요,여행지
추천해봄직한 여행지 알려줘,여행지
꽃구경 추천받고 싶네,여행지
가까운 문학관 여행지 가보는 것 어때,여행지
가까운 절 여행지 보여주길 바래요,여행지
유명한 박물관 보여줘 봐,여행지
여행지 띄워주지 않을래,여행지
갈만한 템플스테이 알고 싶다,여행지
에어컨처럼 시원한 계곡,여행지
전주 갈만한 곳 있을까,여행지
부산 여행지 추천해줘,여행지
서울 어디 갈지 추천해줘,여행지
이번 광주 여행 어디 갈까,여행지
수원 갈만한 여행지 어디 있을까,여행지
다음 주 인천 여행 어디 갈지 모르겠어,여행지
3월 여행 가는데 여행 어디 가는데,여행지
해남 가려는데 어디 추천해줘,여행지
영월 명소 있을까,여행지
진짜 유명한 대구 명소 추천 좀,여행지
성동구 들려야 하는 명소 어디 있니,여행지
강남 구경 할만 한 명소 추천 해주세요,여행지
마포구 관광지 추천 해주라,여행지
용산 관광지 알고싶어,여행지
중구 명소 알려주세요,여행지
광진구 여행지 알고싶어,여행지
4월 갈만한 여행지 추천,여행지
중구 명소 어디 있니,여행지
강남구 관광지 알려줄래,여행지
성동 명소 추천 해주세요,여행지
정말 소문난 명소 알려줘O O O O ,여행지
울산 관광지 알려주라,여행지
동두천 명소 알려줄래,여행지
안산 명소 추천 해줘,여행지
구리 관광지 알려주라,여행지
5월 봄 여행지 추천,여행지
다음 주 여행 가는데 여행지 추천,여행지
태안군 관광지 추천해줘요,여행지
홍성 여행지 보여줘,여행지
예산군 관광지 알려줘봐,여행지
보령 근처 가볼 만한 관광지 알려줘봐요,여행지
쳥양 근처 구경하기 좋은 명소 보여줘,여행지
부여군 근처 가볼 만한 곳 없니,여행지
미추홀구 좋은데 있니,여행지
연수구 가면 어디 갈까,여행지
남동구 갈만한 곳 보여줘,여행지
부평구 유명한 곳 어디 있니,여행지
계양구 관광지 말씀해 주세요,여행지
건대 근처 유명한 곳 있니,여행지
가평 좋은 관광지 없나,여행지
의정부 유명한 관광지 없나요,여행지
양주 관광지 궁금해,여행지
광주 관광지 궁금해요,여행지
6월 관광지 알려주라,여행지
경상북도 관광 할만한 곳 없나,여행지
이번 주말 오산 여행 어디 좋을까,여행지
태안군 근처 관광지 추천,여행지
봄 관광지 보여줘 봐,여행지
예산군 관광지 알려줘봐,여행지
순창 갈건데 여행지 추천 좀,여행지
아산 명소 추천 해주세요,여행지
용인 관광지 알려주라,여행지
중구 명소 어디 있냐,여행지
북구 관광지 추천 해주라,여행지
서울 강남 명소 알려줘,여행지
중구 명소 추천 해주세요,여행지
중구 관광지 추천 해줘,여행지
성북구 관광지 어디 있냐,여행지
충북 진천 관광지 어디 좋니,여행지
풍계리 명소 추천 해주라,여행지
전남 목포 가는데 여행지 알려줘,여행지
서초구 관광지 어디 있냐,여행지
강북구 여행지 알려줄래,여행지
서울 가까운 명소 어디 있냐,여행지
춘천 관광 할만 한 명소 추천 해주세요,여행지
전북 무주 갈만한 여행지 있을까,여행지
경상도 놀기 좋은 명소 어디 있니,여행지
서울 관광할만한 명소 알려줘,여행지
전라도 가봐야 하는 명소 알려줘,여행지
경기도 광주 여행지 추천해줘,여행지
충청북도 가볼 만한 관광지 알려주세요,여행지
충청도 가기 좋은 관광지 알려줘,여행지
경상도 관광해볼 만한 관광지 어디 있냐,여행지
서울 들려야 하는 여행지 알려줘,여행지
전북 임실 여행지 있을까,여행지
경상북도 들려야 하는 관광지 알려주라,여행지
나주 유명한 여행장소 어디 있니,여행지
전라도 구경할만한 관광지 알려주라,여행지
여름 여행지 관광지 어디 있냐,여행지
칠곡 유명한 명소 어디 있냐,여행지
경상도 들러봐야 하는 명소 어디 있니,여행지
청주 꼭 들려야 하는 여행지 추천 해줘,여행지
안암 들러봐야 하는 관광지 알려줘,여행지
경기도 들려야 하는 관광지 알려주세요,여행지
죽전 꼭 가봐야 하는 관광지 알려주세요,여행지
경기 안양 여행지 알려주세요,여행지
철원 볼 만 한 명소 알고싶어,여행지
충북 갈만 한 명소 추천 해줘,여행지
충남 가기 좋은 관광지 어디 있니,여행지
경상남도 구경 하기 좋은 명소 추천 해주라,여행지
강원도 가기 좋은 관광지 알려주라,여행지
경주 가까운 관광지 알려주세요,여행지
진짜 꼭 들려야 하는 관광지 알려주라,여행지
제주도 유명한 관광지 어디 좋을까,여행지
제주 서귀포 여행 가는데 관광지 추천,여행지
밀양 여행지 갈만한 곳 없을까,여행지
아마 여행 갈 것 같은데 무주 여행지 추천,여행지
나 여행 가는데 인천 진짜 좋은 여행지 없을까,여행지
아마 다음 달 여행 가는데 여행지 있나,여행지
청계천 여행할만한 관광지 알려주라,여행지
구로구 놀만한 명소 추천해 줘,여행지
강화도 볼만한 명소 추천해 주세요,여행지
울릉도 갈만한 관광지 알려줄래,여행지
동구 유명한 관광지 알고싶어,여행지
서구 놀기 좋은 관광지 추천 해주라,여행지
파주 관광할만한 명소 추천 해주라,여행지
계룡 근처 한 관광지 알려줘,여행지
수원 가까운 여행지 추천 해줘,여행지
평택 들러봐야 하는 명소 알려주라,여행지
금천구 가기 좋은 명소 알려주세요,여행지
우도 가볼 만한 관광지 추천해 주라,여행지
광명 꼭 들려야 하는 관광지 추천 해주라,여행지
시흥 이번 여행 어디 갈지 추천,여행지
아마 보령 여행 갈 것 같은데 어디 갈까,여행지
다음 달 아마 충남 태안 놀러 가는데 어디 갈까,여행지
청양 유명한 장소 어디 있니 궁금해,여행지
공주 여행 어디 갈까,여행지
전남 영광 제일 유명한 명소 알려줄래,여행지
곡성 어디 여행 갈지 추천해줘,여행지
영암 주변 진짜 유명한 명소 있을까,여행지
용인 관광지 알려주라,여행지
중구 명소 어디 있냐,여행지
진도 관광지 추천 해주라,여행지
서울 강동 여행 할만한 장소 있을까,여행지
호남 명소 추천 해주세요,여행지
2월 관광지 추천 해줘,여행지
구례 관광지 어디 있냐,여행지
전남 순천 관광지 어디 좋니,여행지
강진 여행지 어디 좋을까}LOCATION O O O ,여행지
함흥 좋은데 있니,여행지
포천 가면 어디 갈까,여행지
